"FolderPath","FolderType","ItemsInFolder","FolderSize"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Experts/Lenore","User Created","15","3.883 MB (4,071,171 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Experts/Paul Shelton - Construction Manag","User Created","120","33.46 MB (35,089,171 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Experts/Total Frame Expert","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Insurance","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Insurance/Client","User Created","3","221.9 KB (227,186 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Insurance/Docs","User Created","6","25.37 MB (26,599,147 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Insurance/Research","User Created","5","567.2 KB (580,842 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Lien Removal","User Created","2","12.85 MB (13,475,328 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Lien Removal/Bond","User Created","54","6.407 MB (6,717,869 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Lien Removal/Client","User Created","30","3.201 MB (3,356,512 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Lien Removal/Court comm","User Created","12","2.115 MB (2,217,713 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Lien Removal/docs","User Created","1","154.2 KB (157,910 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Lien Removal/Harco Comm","User Created","27","16.06 MB (16,837,948 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Lien Removal/Internal","User Created","30","3.114 MB (3,265,387 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Lien Removal/Opposing","User Created","5","246.9 KB (252,874 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Lien Removal/Pleadings","User Created","9","7.593 MB (7,961,737 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/HBI Lien Removal/Research","User Created","1","265.5 KB (271,919 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Internal","User Created","124","66.6 MB (69,835,727 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Kennewick v McGee v South","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Kennewick v McGee v South/Client","User Created","72","18.22 MB (19,106,533 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Kennewick v McGee v South/docs","User Created","13","23.98 MB (25,146,576 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Kennewick v McGee v South/Internal","User Created","30","13.35 MB (14,002,562 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Kennewick v McGee v South/opposing","User Created","5","1008 KB (1,032,508 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Kennewick v McGee v South/pleadings and discovery","User Created","10","13.03 MB (13,659,610 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Kennewick v McGee v South/research","User Created","1","89.11 KB (91,247 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Kennewick v McGee v South/witness","User Created","3","227.1 KB (232,588 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/opposing","User Created","125","21.39 MB (22,425,330 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Research","User Created","32","6.287 MB (6,591,890 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Witness","User Created","3","568 KB (581,637 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Witness/Amos","User Created","9","11.1 MB (11,639,079 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Witness/Billen","User Created","1","157.2 KB (160,932 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Witness/Cascade fire","User Created","5","1.25 MB (1,310,573 bytes)"
"/Admin","User Created","2","10.43 KB (10,679 bytes)"
"/Admin/Admin","User Created","3","178 KB (182,227 bytes)"
"/Admin/Admin/Bills and reports WBM","User Created","165","53.58 MB (56,182,086 bytes)"
"/Admin/Admin/Breach","User Created","8","698.7 KB (715,489 bytes)"
"/Admin/Admin/CLE- Lic - WBM","User Created","210","25.53 MB (26,771,948 bytes)"
"/Admin/Admin/Gen admin WBM","User Created","69","17.78 MB (18,647,477 bytes)"
"/Admin/Admin/IT","User Created","2","104.9 KB (107,412 bytes)"
"/Admin/Admin/Log In","User Created","56","16.75 MB (17,560,086 bytes)"
"/Admin/Admin/Misc matters","User Created","3","1.288 MB (1,350,948 bytes)"
"/Admin/Admin/Non compete","User Created","10","3.206 MB (3,361,553 bytes)"
