"FolderPath","IdentityReference","FileSystemRights","AccessControlType","IsInherited","InheritanceFlags","PropagationFlags"
"C:\Temp\Scripts\365\Grant-RMToMailboxEditCalendarPermissions","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\365\Remediate-365Account","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\365\Remediate-365Account","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\365\Remediate-365Account","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\365\Remediate-365Account","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\365\Remediate-365Account","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\365\Remove-AllMailboxPermissions","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\365\Remove-AllMailboxPermissions","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\365\Remove-AllMailboxPermissions","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\365\Remove-AllMailboxPermissions","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\365\Remove-AllMailboxPermissions","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Azure\Add-FoldersToAzurePath","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Azure\Add-FoldersToAzurePath","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Azure\Add-FoldersToAzurePath","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Azure\Add-FoldersToAzurePath","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\Azure\Add-FoldersToAzurePath","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Azure\Create-TestDomainController","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Azure\Create-TestDomainController","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Azure\Create-TestDomainController","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Azure\Create-TestDomainController","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\Azure\Create-TestDomainController","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Azure\Delete-TestDomainController","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Azure\Delete-TestDomainController","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Azure\Delete-TestDomainController","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Azure\Delete-TestDomainController","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\Azure\Delete-TestDomainController","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Domain\Change-ADUserPassword","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Domain\Change-ADUserPassword","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Domain\Change-ADUserPassword","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Domain\Change-ADUserPassword","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\Domain\Change-ADUserPassword","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Domain\Copy-ADUser","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Domain\Copy-ADUser","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
